id,prestige
GLE,5.000
HAR,-0.119
HOB,-0.269
KAF,15.846
MED,-22.175
MJE,-0.269
MRE,-3.401
PTE,-0.434
WAR,-0.119
BTI,-0.214
BEJ,-0.119
JIM,9.579
WLY,-0.043
DAM,-0.279
HDY,-0.464
SOA,-0.153
JJI,-0.119
ABB,-0.413
TYO,-0.119
SYO,-0.119
KSJ,-1.290
LUB,-0.119
LND,11.340
CKW,21.234
KIK,11.825
KZB,19.786
YAK,17.003
KLD,23.122
KUB,-0.119
RWA,33.914
BUU,22.853
BUG,-0.119
NKO,57.850
KRW,-3.388
BNY,-0.119
BSG,64.273
UBH,-0.265
MRA,51.036
LDU,-0.309
TBK,-0.547
MKU,-3.624
RZW,-0.299
MIR,-9.470
SKA,-0.119
BTS,-0.238
MFY,-0.136
ANT,-9.443
ANN,-0.119
ARK,14.177
ATJ,5.000
AYU,-61.096
BLI,10.859
BAN,5.000
BEI,-22.381
CHA,-6.344
CHG,42.468
CHK,5.000
DAI,17.500
JAP,-44.293
AMA,-0.287
ASA,-0.119
CSK,21.598
DTE,-0.128
HJO,-0.119
HSK,-4.719
HTK,-3.367
IKE,-0.119
IMG,-0.351
MAE,-0.119
MRI,7.373
ODA,-38.094
OTM,-0.119
OUC,-4.214
SBA,-1.577
SMZ,-0.222
TKD,-0.119
TKG,-0.220
UES,-1.214
YMN,-4.613
RFR,4.173
ASK,5.000
KTB,-0.239
ANU,13.174
AKM,-0.119
AKT,-2.568
CBA,-12.702
ISK,-0.376
ITO,-4.464
KKC,-0.583
KNO,-0.169
OGS,-0.145
SHN,-0.194
STK,-0.359
TKI,-0.215
UTN,14.369
TTI,-0.135
KHA,-10.097
KHM,-45.274
KOR,-1.616
LNA,-50.068
LUA,5.000
LXA,20.465
MAJ,-1.994
MCH,-51.617
MKS,9.180
MLC,-0.119
MNG,74.543
MTR,5.000
OIR,28.368
PAT,-8.629
PEG,49.285
QNG,5.000
RYU,53.270
SST,5.000
SUK,-1.588
SUL,16.614
TAU,-21.971
TIB,23.295
TOK,-0.153
VIE,5.000
CZH,5.000
CSH,-6.539
CXI,-0.535
YUA,5.000
FRM,7.000
ILK,7.000
KLM,5.000
MGE,5.000
SOO,0.970
NVK,-3.110
SOL,30.629
EJZ,-3.745
NHX,-6.220
MYR,4.576
MHX,-0.119
MJZ,10.400
KRC,-29.885
KLK,5.000
HMI,29.468
ZUN,5.000
KAS,-0.434
CHH,-0.503
KSD,5.000
SYG,-1.407
UTS,-0.119
KAM,5.000
GUG,0.493
PHA,-21.353
CDL,-0.153
CYI,5.000
CMI,-0.119
MIN,-0.119
YUE,-0.345
SHU,5.000
NNG,-0.214
CHC,-0.269
TNG,-0.119
WUU,-0.119
QIC,-0.119
YAN,5.000
JIN,5.000
LNG,5.000
QIN,-0.214
HUA,5.000
CGS,5.000
BAL,15.037
BNG,19.395
BIJ,-0.301
BAH,35.543
DLH,-0.188
GOC,5.000
DEC,5.000
MAR,5.000
MUG,5.000
MYS,-0.119
VIJ,-49.152
AHM,-0.446
ASS,-17.708
GUJ,-8.475
JNP,-77.716
MAD,0.588
MLW,11.817
MAW,-0.269
MER,-0.119
MUL,8.522
NAG,5.000
NPL,0.355
ORI,-1.336
PUN,5.000
SND,25.359
BRR,-0.236
JAN,-0.876
KRK,-0.269
GDW,3.785
GRJ,-13.007
GWA,-0.339
DHU,-0.462
KSH,-0.119
KLN,-0.329
KHD,-0.939
ODH,5.000
VND,-0.119
MAB,-2.077
MEW,-2.752
BDA,7.000
BST,-0.232
BHU,-0.200
BND,-0.119
CEY,-0.119
JSL,-0.119
KAC,-0.119
KMT,-0.119
KGR,-0.180
KAT,-0.253
KOC,-2.347
MLB,13.080
HAD,-10.960
NGA,-4.889
RMP,-0.214
LDK,-23.448
BGL,2.760
JFN,-0.192
PTA,-0.153
GHR,-0.119
CHD,-0.119
NGP,-0.335
JAJ,20.366
TRT,3.360
CMP,-0.236
BGA,-0.119
TPR,-0.119
SDY,39.363
BHA,5.000
YOR,-0.535
DGL,6.239
MBL,9.786
SKK,-0.119
IDR,-0.862
JLV,-0.173
PTL,-0.119
NVR,-0.119
RJK,-0.119
JGD,-0.119
PRB,-0.165
PAN,-0.398
KLP,-0.308
SBP,-0.119
PTT,-0.359
RTT,-1.115
KLH,-4.661
KJH,30.962
PRD,-0.483
JPR,-0.229
SRG,-0.119
KND,31.386
TLG,-1.439
KLT,-1.409
DNG,5.000
DTI,25.848
GRK,-0.155
JML,-22.448
LWA,-8.576
MKP,-0.119
SRM,-3.297
KTU,-27.440
KMN,-0.362
GNG,-0.153
TNJ,-0.214
SRH,-2.910
RJP,5.000
BAR,-0.153
HSA,-0.119
SMO,-0.269
NZH,-0.269
KOJ,5.000
MSA,5.000
HIN,5.000
ABE,25.309
APA,6.631
ASI,9.840
BLA,22.780
CAD,3.100
CHI,50.713
CHO,3.592
CHY,25.008
COM,43.758
FOX,19.647
ILL,42.279
LEN,-0.048
MAH,26.049
MIK,5.588
MMI,7.081
NAH,-0.119
OJI,20.757
OSA,30.694
OTT,26.554
PAW,42.692
PEQ,48.454
PIM,42.882
POT,30.066
POW,14.209
PUE,25.758
SHO,47.778
SIO,19.921
SUS,29.703
WCR,26.158
AIR,15.301
BON,-0.890
DAH,-0.119
DGB,6.243
FUL,10.605
JNN,20.494
KAN,5.946
KBU,-0.214
KNG,-43.780
KTS,52.567
MSI,-0.265
NUP,-16.184
TMB,69.745
YAO,54.653
YAT,-0.188
ZAF,-18.747
ZZZ,-0.309
NDO,23.364
AVA,20.215
HSE,-1.536
JOH,-0.329
KED,-0.166
LIG,-8.815
MPH,-0.119
MYA,-10.106
PRK,-0.153
MMA,18.725
MKA,-0.119
MPA,-0.119
MNI,0.996
KAL,12.086
HSI,-0.639
BPR,-9.312
CHU,25.014
HOD,57.864
CHV,48.810
KMC,50.278
BRT,-0.119
ARP,-0.119
CLM,-88.504
CNK,32.882
COC,21.479
HDA,17.215
ITZ,-0.119
KIC,13.090
KIO,27.736
MIX,4.738
SAL,41.983
TAR,13.606
TLA,84.846
TLX,25.820
TOT,7.317
WIC,80.362
XIU,-0.119
BLM,5.000
BTN,-12.001
CRB,5.000
DMK,5.000
PGR,-0.455
PLB,-22.988
PSA,-23.347
SAK,-3.457
SUN,23.817
KUT,-29.125
BNJ,5.000
LFA,5.000
LNO,-0.119
LUW,4.398
MGD,-21.782
TER,25.853
TID,38.798
MAS,-47.797
PGS,-0.119
TDO,-0.694
MNA,13.389
CEB,0.115
BTU,-8.018
CSU,14.332
CCQ,11.670
MPC,42.927
MCA,49.316
QTO,-89.781
CJA,-0.287
HJA,-0.689
PTG,10.756
TPQ,29.502
TPA,33.205
TUA,18.953
GUA,26.988
CUA,43.219
WKA,-3.761
CYA,-0.119
CLA,-0.969
CRA,-0.119
PCJ,-2.568
ARW,50.349
CAB,32.724
ICM,7.522
MAT,-22.061
COI,-2.904
TEO,-0.119
XAL,-4.882
GAM,34.931
HST,27.518
CCM,14.571
OTO,-27.874
YOK,-29.192
LAC,16.885
